time_sec,key_index
0.0,29
0.0,34
0.016666666666666666,29
0.016666666666666666,34
0.03333333333333333,29
0.03333333333333333,31
0.03333333333333333,34
0.05,29
0.05,31
0.05,34
0.06666666666666667,29
0.06666666666666667,31
0.06666666666666667,34
0.08333333333333333,29
0.08333333333333333,34
0.1,29
0.1,34
0.11666666666666667,29
0.11666666666666667,31
0.11666666666666667,34
0.13333333333333333,29
0.13333333333333333,31
0.13333333333333333,34
0.15,29
0.15,31
0.15,34
0.16666666666666666,29
0.16666666666666666,34
0.18333333333333332,29
0.18333333333333332,34
0.2,29
0.2,34
0.21666666666666667,29
0.21666666666666667,34
0.23333333333333334,29
0.23333333333333334,34
0.25,29
0.25,34
0.26666666666666666,29
0.26666666666666666,34
0.2833333333333333,12
0.2833333333333333,29
0.2833333333333333,34
0.3,12
0.3,34
0.31666666666666665,12
0.31666666666666665,34
0.3333333333333333,12
0.3333333333333333,34
0.35,12
0.35,29
0.35,34
0.36666666666666664,12
0.36666666666666664,29
0.36666666666666664,34
0.38333333333333336,12
0.4,12
0.4166666666666667,12
0.43333333333333335,12
0.45,12
0.4666666666666667,12
0.4666666666666667,33
0.48333333333333334,12
0.48333333333333334,33
0.5,12
0.5,28
0.5,33
0.5166666666666667,12
0.5166666666666667,28
0.5166666666666667,33
0.5333333333333333,12
0.5333333333333333,28
0.5333333333333333,33
0.55,12
0.55,28
0.55,33
0.5666666666666667,12
0.5666666666666667,28
0.5666666666666667,33
0.5833333333333334,12
0.5833333333333334,28
0.5833333333333334,33
0.6,12
0.6,28
0.6,33
0.6166666666666667,12
0.6166666666666667,28
0.6166666666666667,33
0.6333333333333333,12
0.6333333333333333,28
0.6333333333333333,33
0.65,12
0.65,28
0.65,33
0.6666666666666666,12
0.6666666666666666,28
0.6666666666666666,33
0.6833333333333333,12
0.6833333333333333,28
0.6833333333333333,33
0.7,12
0.7,28
0.7,33
0.7166666666666667,12
0.7166666666666667,28
0.7166666666666667,33
0.7333333333333333,28
0.7333333333333333,33
0.75,28
0.75,33
0.8333333333333334,12
0.8333333333333334,19
0.85,12
0.85,19
0.8666666666666667,12
1.0833333333333333,29
1.1,29
1.1166666666666667,29
1.1333333333333333,29
1.15,29
1.1666666666666667,29
1.1833333333333333,29
1.2,29
1.2166666666666666,29
1.2333333333333334,29
1.25,29
1.2666666666666666,29
1.4166666666666667,29
1.4333333333333333,29
1.45,29
1.4666666666666666,29
1.4833333333333334,29
1.5,29
1.5166666666666666,29
1.5333333333333334,29
1.55,29
1.7833333333333334,10
1.7833333333333334,30
1.8,10
1.8,26
1.8,30
1.8166666666666667,10
1.8166666666666667,30
1.8333333333333333,10
1.8333333333333333,26
1.8333333333333333,30
1.85,10
1.85,26
1.85,30
1.8666666666666667,10
1.8666666666666667,30
1.8833333333333333,10
1.8833333333333333,30
1.9,10
1.9,30
1.9166666666666667,10
1.9166666666666667,30
