epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1201.25,0.32184,0.27348,0.80969,0.97635,1,0.98651,0.86531,0.34986,0.24828,0.74629,0.000820675,0.000820675,0.000820675
45,1228.61,0.33426,0.27733,0.80717,0.97628,1,0.9879,0.8734,0.326,0.22578,0.74363,0.000806528,0.000806528,0.000806528
46,1255.59,0.31765,0.27055,0.8029,0.97679,1,0.99048,0.88319,0.35019,0.21933,0.74805,0.00079238,0.00079238,0.00079238
47,1282.79,0.31785,0.26958,0.80276,0.97684,1,0.99145,0.86735,0.34333,0.24108,0.74589,0.000778233,0.000778233,0.000778233
48,1309.65,0.31596,0.26761,0.80599,0.97597,1,0.98575,0.87112,0.3674,0.22907,0.7504,0.000764086,0.000764086,0.000764086
49,1336.44,0.32064,0.26737,0.80313,0.97592,1,0.98747,0.89045,0.3315,0.21343,0.74392,0.000749939,0.000749939,0.000749939
50,1363.08,0.31422,0.26396,0.80694,0.97637,1,0.98618,0.88671,0.31455,0.22469,0.74296,0.000735792,0.000735792,0.000735792
51,1390.9,0.31313,0.2623,0.80544,0.97592,1,0.98575,0.88058,0.31523,0.22401,0.74289,0.000721645,0.000721645,0.000721645
52,1418.17,0.31383,0.26116,0.80766,0.97648,1,0.9879,0.88815,0.31872,0.20932,0.74365,0.000707498,0.000707498,0.000707498
53,1444.94,0.3254,0.26063,0.81119,0.97551,1,0.98683,0.87213,0.3398,0.22103,0.74508,0.000693351,0.000693351,0.000693351
54,1471.69,0.31645,0.25629,0.80686,0.97644,1,0.9922,0.87964,0.3378,0.21375,0.74534,0.000679204,0.000679204,0.000679204
55,1498.55,0.30781,0.24946,0.80307,0.97644,1,0.98823,0.89475,0.2929,0.19433,0.73845,0.000665057,0.000665057,0.000665057
56,1525.8,0.3013,0.24934,0.80449,0.97684,1,0.98543,0.87222,0.3389,0.21678,0.74718,0.000650909,0.000650909,0.000650909
57,1552.51,0.31328,0.25225,0.80278,0.97621,1,0.99113,0.89726,0.30359,0.22101,0.7425,0.000636762,0.000636762,0.000636762
58,1579.59,0.30992,0.24877,0.79742,0.97692,1,0.99328,0.90608,0.30454,0.20138,0.74232,0.000622615,0.000622615,0.000622615
59,1607.57,0.31154,0.25253,0.8044,0.97627,1,0.99005,0.88846,0.3429,0.21387,0.74762,0.000608468,0.000608468,0.000608468
60,1635.91,0.32298,0.25004,0.80514,0.97607,1,0.9879,0.89516,0.30703,0.20994,0.74104,0.000594321,0.000594321,0.000594321
61,1664.39,0.33274,0.25568,0.80804,0.97666,1,0.98973,0.8877,0.33583,0.22831,0.74504,0.000580174,0.000580174,0.000580174
62,1692.95,0.31002,0.24844,0.80136,0.97621,1,0.98543,0.88916,0.33418,0.21308,0.7437,0.000566027,0.000566027,0.000566027
63,1721.71,0.30581,0.24211,0.79992,0.97588,1,0.9922,0.90868,0.29424,0.18565,0.73775,0.00055188,0.00055188,0.00055188
64,1750.5,0.28986,0.23509,0.80329,0.97653,1,0.98683,0.88087,0.31748,0.19226,0.74138,0.000537733,0.000537733,0.000537733
65,1779.22,0.30479,0.23891,0.80432,0.97658,1,0.98608,0.87264,0.33252,0.1927,0.74144,0.000523586,0.000523586,0.000523586
66,1807.72,0.29287,0.23419,0.79713,0.97666,1,0.98758,0.88869,0.33162,0.20299,0.74389,0.000509438,0.000509438,0.000509438
67,1836.18,0.3167,0.23918,0.80471,0.97595,1,0.99188,0.90022,0.31018,0.19669,0.74094,0.000495291,0.000495291,0.000495291
68,1866.44,0.30268,0.23538,0.79937,0.9765,1,0.9864,0.88432,0.31334,0.21634,0.74248,0.000481144,0.000481144,0.000481144
69,1895.26,0.29759,0.2353,0.79979,0.97703,1,0.98651,0.87576,0.31337,0.19771,0.73974,0.000466997,0.000466997,0.000466997
70,1923.66,0.29798,0.23273,0.80233,0.97681,1,0.98651,0.87981,0.31654,0.19004,0.74057,0.00045285,0.00045285,0.00045285
71,1951.91,0.29116,0.22746,0.79944,0.97559,1,0.99005,0.89633,0.32174,0.19413,0.74053,0.000438703,0.000438703,0.000438703
72,1980.57,0.30751,0.23263,0.80081,0.97662,1,0.98866,0.88977,0.29588,0.19348,0.73736,0.000424556,0.000424556,0.000424556
73,2009.07,0.29558,0.22988,0.80108,0.97636,1,0.98575,0.89062,0.29297,0.18832,0.73719,0.000410409,0.000410409,0.000410409
74,2037.41,0.28774,0.22781,0.79955,0.97619,1,0.98683,0.89281,0.31446,0.18552,0.73979,0.000396262,0.000396262,0.000396262
75,2065.84,0.28302,0.22045,0.79772,0.97597,1,0.9879,0.89889,0.30669,0.18975,0.73943,0.000382115,0.000382115,0.000382115
76,2094.28,0.28326,0.21829,0.79657,0.97596,1,0.98823,0.90928,0.29511,0.18852,0.73851,0.000367967,0.000367967,0.000367967
77,2123.79,0.28297,0.21924,0.79816,0.97672,1,0.98726,0.89422,0.30576,0.18564,0.73905,0.00035382,0.00035382,0.00035382
78,2152.39,0.28587,0.22307,0.79632,0.97693,1,0.98747,0.89085,0.30341,0.18699,0.73843,0.000339673,0.000339673,0.000339673
