epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2588,0.99214,1.87617,1.13017,0.856,0.80344,0.91509,0.69211,0.64791,2.35454,0.99102,0.000647059,0.000647059,0.000647059
2,85.6052,0.79681,0.93204,0.97356,0.82009,0.86486,0.9074,0.28457,1.1905,2.45649,1.42682,0.00130072,0.00130072,0.00130072
3,127.796,0.86765,0.86359,0.99598,0.95932,1,0.98868,0.76854,0.90505,1.25402,0.92336,0.00194118,0.00194118,0.00194118
4,170.092,0.76642,0.74946,0.96523,0.99806,1,0.995,0.85774,0.51524,0.90195,0.87222,0.0019406,0.0019406,0.0019406
5,212.712,0.68659,0.63112,0.94839,0.97328,1,0.995,0.87283,0.56951,0.718,0.84451,0.0019208,0.0019208,0.0019208
6,255.789,0.72008,0.61945,0.94539,0.79168,0.92447,0.96029,0.56382,1.4625,1.46483,1.10372,0.001901,0.001901,0.001901
7,299.981,0.69732,0.57066,0.9583,0.98949,1,0.995,0.87945,0.53682,0.74044,0.8347,0.0018812,0.0018812,0.0018812
8,343.649,0.63024,0.5075,0.93101,0.99603,1,0.995,0.88056,0.46064,0.57742,0.78693,0.0018614,0.0018614,0.0018614
9,388.075,0.62542,0.48498,0.92421,0.97185,1,0.995,0.84856,0.50623,0.52121,0.76631,0.0018416,0.0018416,0.0018416
10,434.771,0.61292,0.44995,0.92503,0.97323,1,0.995,0.90304,0.44574,0.62859,0.84645,0.0018218,0.0018218,0.0018218
11,479.002,0.60459,0.44331,0.92442,0.99843,1,0.995,0.87041,0.57959,0.48269,0.80133,0.001802,0.001802,0.001802
12,522.704,0.58675,0.42755,0.91548,0.99834,1,0.995,0.85942,0.52295,0.46134,0.80214,0.0017822,0.0017822,0.0017822
13,566.851,0.56685,0.41645,0.90729,0.85024,0.94595,0.9764,0.8399,0.43888,0.74139,0.78017,0.0017624,0.0017624,0.0017624
14,610.806,0.60449,0.40546,0.91443,0.97181,1,0.99368,0.90992,0.42845,0.44732,0.76407,0.0017426,0.0017426,0.0017426
15,654.992,0.55096,0.39515,0.90966,0.98396,1,0.995,0.92079,0.45415,0.44916,0.77512,0.0017228,0.0017228,0.0017228
16,699.943,0.56872,0.37803,0.90124,0.99773,1,0.995,0.92384,0.39343,0.52466,0.795,0.001703,0.001703,0.001703
17,745.77,0.54184,0.37288,0.90286,0.9733,1,0.995,0.92414,0.40454,0.4525,0.77914,0.0016832,0.0016832,0.0016832
18,789.743,0.53022,0.35878,0.89686,0.9954,1,0.995,0.92824,0.31769,0.33688,0.7705,0.0016634,0.0016634,0.0016634
19,834.423,0.51656,0.35172,0.90157,0.96068,1,0.995,0.96503,0.37423,0.5013,0.74875,0.0016436,0.0016436,0.0016436
20,879.53,0.537,0.36177,0.89633,0.99459,1,0.995,0.92946,0.30494,0.43509,0.74996,0.0016238,0.0016238,0.0016238
21,923.995,0.52662,0.35299,0.90115,0.99769,1,0.995,0.9345,0.33394,0.33106,0.75321,0.001604,0.001604,0.001604
22,969.273,0.52495,0.35448,0.89821,0.99825,1,0.995,0.93443,0.3344,0.274,0.75241,0.0015842,0.0015842,0.0015842
23,1013.02,0.4828,0.33013,0.88654,0.9983,1,0.995,0.93951,0.4038,0.28411,0.77117,0.0015644,0.0015644,0.0015644
24,1058.45,0.50584,0.34157,0.89665,0.99823,1,0.995,0.96921,0.3202,0.27919,0.73093,0.0015446,0.0015446,0.0015446
25,1105.32,0.49386,0.33127,0.89227,0.99782,1,0.995,0.92964,0.34655,0.27817,0.77512,0.0015248,0.0015248,0.0015248
26,1148.97,0.5413,0.33919,0.89191,0.99568,1,0.995,0.9196,0.34399,0.4133,0.75282,0.001505,0.001505,0.001505
27,1192.4,0.48491,0.33139,0.88873,0.99839,1,0.995,0.94391,0.35913,0.27247,0.79449,0.0014852,0.0014852,0.0014852
28,1235.75,0.43193,0.30162,0.87872,0.99848,1,0.995,0.86029,0.32638,0.29804,0.73838,0.0014654,0.0014654,0.0014654
29,1278.5,0.46962,0.31035,0.89094,0.99562,1,0.995,0.89785,0.45948,0.42418,0.79718,0.0014456,0.0014456,0.0014456
30,1321.14,0.49102,0.32663,0.89034,0.99834,1,0.995,0.94529,0.29076,0.25368,0.74175,0.0014258,0.0014258,0.0014258
31,1364.54,0.44421,0.29853,0.8781,0.99791,1,0.995,0.95751,0.33137,0.25024,0.74422,0.001406,0.001406,0.001406
32,1407.47,0.45344,0.29851,0.88605,0.98716,1,0.995,0.93088,0.43889,0.33541,0.76096,0.0013862,0.0013862,0.0013862
33,1450.13,0.47236,0.31135,0.89007,0.9983,1,0.995,0.95317,0.27993,0.2414,0.72683,0.0013664,0.0013664,0.0013664
34,1493.13,0.44461,0.28919,0.88091,0.99794,1,0.995,0.94458,0.36614,0.20371,0.7281,0.0013466,0.0013466,0.0013466
35,1535.72,0.43353,0.28915,0.87525,0.99784,1,0.995,0.9702,0.2819,0.26263,0.72963,0.0013268,0.0013268,0.0013268
36,1578.76,0.44166,0.29589,0.87531,0.9934,1,0.995,0.97264,0.24738,0.25571,0.71845,0.001307,0.001307,0.001307
37,1621.29,0.45314,0.3005,0.8856,0.99842,1,0.995,0.97717,0.2704,0.27128,0.72336,0.0012872,0.0012872,0.0012872
38,1663.73,0.43151,0.29763,0.87717,0.99602,1,0.995,0.98052,0.26307,0.24356,0.7256,0.0012674,0.0012674,0.0012674
39,1706.99,0.44746,0.30079,0.88563,0.99846,1,0.995,0.97055,0.28831,0.22653,0.73718,0.0012476,0.0012476,0.0012476
40,1751.95,0.42865,0.28691,0.88239,0.99646,1,0.995,0.99231,0.25521,0.19687,0.73362,0.0012278,0.0012278,0.0012278
