epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9957,1.64478,3.48067,1.46353,0.01857,0.42069,0.16236,0.08268,1.00241,3.47209,0.97444,0.00027151,0.00027151,0.00027151
2,61.05,0.87632,2.18515,0.97049,0.02362,0.72719,0.21986,0.1152,1.91079,3.23013,1.75082,0.000551793,0.000551793,0.000551793
3,87.8216,0.7613,1.46772,0.94349,0.02896,0.96667,0.59998,0.41129,0.80951,2.5448,0.84633,0.000826416,0.000826416,0.000826416
4,114.34,0.67564,1.22554,0.90809,0.80505,0.57485,0.69081,0.50729,0.76562,1.69216,0.83599,0.00109538,0.00109538,0.00109538
5,140.749,0.63188,1.10695,0.89006,0.75857,0.77555,0.93699,0.63405,0.72071,1.30742,0.82619,0.00135869,0.00135869,0.00135869
6,167.451,0.60165,1.05306,0.89095,0.82212,0.8578,0.8761,0.70119,0.61967,1.07918,0.82588,0.00135826,0.00135826,0.00135826
7,194.159,0.55731,0.96053,0.86724,0.8223,0.89274,0.91693,0.72344,0.55706,1.00385,0.80251,0.00134412,0.00134412,0.00134412
8,220.722,0.5225,0.8207,0.85492,0.9187,0.98925,0.98576,0.75616,0.55276,0.65462,0.79382,0.00132997,0.00132997,0.00132997
9,247.376,0.50759,0.72368,0.85309,0.92597,0.96766,0.96252,0.81716,0.44948,0.7219,0.78615,0.00131582,0.00131582,0.00131582
10,273.924,0.48494,0.64998,0.84931,0.96896,0.98751,0.98831,0.86113,0.46072,0.5257,0.7745,0.00130168,0.00130168,0.00130168
11,301.028,0.48566,0.61934,0.84276,0.97122,1,0.98823,0.8432,0.42728,0.45847,0.76794,0.00128753,0.00128753,0.00128753
12,328.192,0.46528,0.55374,0.84159,0.97331,1,0.98038,0.8605,0.39504,0.44058,0.76326,0.00127338,0.00127338,0.00127338
13,355.249,0.49357,0.53807,0.84543,0.9721,0.99868,0.9893,0.85938,0.4073,0.43052,0.76715,0.00125923,0.00125923,0.00125923
14,382.369,0.45867,0.51621,0.8348,0.96988,1,0.98435,0.83225,0.40409,0.40273,0.76331,0.00124509,0.00124509,0.00124509
15,409.206,0.4395,0.48922,0.83588,0.97378,1,0.98468,0.81053,0.42315,0.39999,0.76287,0.00123094,0.00123094,0.00123094
16,436.463,0.43679,0.4811,0.83384,0.97485,1,0.9836,0.82144,0.42414,0.40692,0.76717,0.00121679,0.00121679,0.00121679
17,463.57,0.42403,0.4655,0.82564,0.97691,0.99911,0.985,0.82732,0.41619,0.39635,0.75931,0.00120265,0.00120265,0.00120265
18,490.729,0.40898,0.44105,0.82515,0.97456,1,0.98113,0.8662,0.37613,0.38364,0.75561,0.0011885,0.0011885,0.0011885
19,517.985,0.41499,0.44524,0.82755,0.97273,1,0.97962,0.85392,0.3983,0.3864,0.75717,0.00117435,0.00117435,0.00117435
20,545.033,0.40867,0.42644,0.82478,0.97477,0.99646,0.98142,0.82237,0.41834,0.36655,0.76245,0.00116021,0.00116021,0.00116021
21,572.107,0.41417,0.42255,0.82266,0.97468,1,0.97866,0.79683,0.45183,0.35547,0.76777,0.00114606,0.00114606,0.00114606
22,599.087,0.40924,0.40398,0.8216,0.97371,1,0.9836,0.84453,0.41409,0.35392,0.76426,0.00113191,0.00113191,0.00113191
23,626.145,0.42194,0.41658,0.83394,0.97369,1,0.98285,0.84328,0.38328,0.34167,0.75942,0.00111776,0.00111776,0.00111776
24,653.146,0.41379,0.40034,0.82432,0.97473,1,0.98575,0.83691,0.37734,0.33641,0.7564,0.00110362,0.00110362,0.00110362
25,680.215,0.39004,0.38782,0.82471,0.97194,1,0.98145,0.82165,0.4137,0.33255,0.763,0.00108947,0.00108947,0.00108947
26,707.5,0.41935,0.3914,0.82639,0.97479,1,0.97962,0.73947,0.56946,0.36603,0.79045,0.00107532,0.00107532,0.00107532
27,734.43,0.43416,0.39285,0.82934,0.97273,1,0.98113,0.8607,0.40082,0.33618,0.76696,0.00106118,0.00106118,0.00106118
